number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
111,COMPLETE,7.928156932195027,2026-01-23T22:28:45.493357,2026-01-23T22:40:37.114014,711.620657,"{""best_epoch"": 191, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/22-28-45""}",8,955,17.25230789555709,320,0.00030751919435075226,0.3892992316985055,OFF,1024
112,COMPLETE,7.192163856824239,2026-01-23T22:40:37.132292,2026-01-23T22:52:29.503060,712.370768,"{""best_epoch"": 217, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/22-40-37""}",8,966,17.10178412466074,320,0.0003049760951418076,0.3927917017455773,OFF,1024
113,PRUNED,14.014509042104086,2026-01-23T22:52:29.520636,2026-01-23T22:52:59.321911,29.801275,{},8,956,17.300526302171395,320,0.0003103826371278557,0.39091528457668034,OFF,1024
114,PRUNED,16.01080576578776,2026-01-23T22:52:59.330056,2026-01-23T22:53:16.365199,17.035143,{},8,984,18.2522649903872,320,0.00038907862822948054,0.39462388485596067,OFF,1024
115,COMPLETE,7.482237720489502,2026-01-23T22:53:16.372387,2026-01-23T23:04:50.160942,693.788555,"{""best_epoch"": 236, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/22-53-16""}",8,934,16.745980544623155,320,0.00032800945364663196,0.38277168200973194,OFF,1024
116,PRUNED,18.755562782287598,2026-01-23T23:04:50.177612,2026-01-23T23:04:59.842560,9.664948,{},8,861,21.215381739638122,320,0.00035474152060359246,0.383281668334907,OFF,1024
117,PRUNED,9.805059973398844,2026-01-23T23:04:59.852799,2026-01-23T23:06:17.281940,77.429141,{},8,883,16.547902387793904,320,0.0003267556689581807,0.3879391190733111,OFF,512
118,PRUNED,20.413410313924153,2026-01-23T23:06:17.292035,2026-01-23T23:06:25.299257,8.007222,{},8,915,23.310046737037766,512,0.0004670851114844612,0.3757054788410992,OFF,1024
119,PRUNED,14.327941004435221,2026-01-23T23:06:25.306948,2026-01-23T23:07:04.655786,39.348838,{},8,940,17.915409667853755,160,0.00023400428803932617,0.39877571603838025,OFF,1024
120,PRUNED,21.194676144917807,2026-01-23T23:07:04.664688,2026-01-23T23:07:14.259666,9.594978,{},8,840,18.81464100904976,320,0.0002869725391890252,0.19315579480636888,OFF,1024
